Gene	SRR6926216	SRR6926217	SRR6926218	SRR6926219	SRR6926220	SRR6926221	SRR6926222	SRR6926223	SRR6926224	SRR6026765	SRR6026766	SRR6026770	SRR6026771	SRR6026772
TBCA	37578	33225	42306	43047	36928	40503	46948	46771	49593	48973	50383	31621	41720	37267
TBCB	29058	28492	35359	31829	28047	29863	42632	29924	38503	300239	255408	209856	266010	222010
TBCC	11456	10647	10900	10279	8721	9948	12034	11112	14744	40296	57137	77678	62304	54296
TBCCD1	12539	13185	16868	13228	11582	12930	12517	13025	14410	11563	17221	20728	15447	15413
TBCD	68700	76918	78968	56795	49555	51212	26441	27882	32001	117792	126436	88211	91690	71035
TBCE	21292	21861	27124	26734	23444	28415	30366	31766	33822	50458	43557	53617	49687	55877
TBCEL	5268	6624	7308	5279	5534	5784	7350	13187	14312	20912	23654	29200	24058	29285
TBCK	5603	5788	7683	5121	4488	4080	8415	8679	10635	6994	6291	9490	8044	9072
TBK1	19944	20730	26449	30831	24094	27432	19330	27875	25789	10750	13200	22975	22419	24839
TBKBP1	5024	6353	4625	4759	4132	5542	3887	3179	3198	96105	102057	90576	77107	75582
TBL1X	108695	113052	136711	100021	97094	103190	92962	127248	159227	65289	58860	48611	58587	52991
TBL1XR1	98193	96177	118414	76309	70454	69057	49294	88833	96808	24697	25720	31405	31711	37163
TBL2	10939	12350	12863	24253	22428	22049	24536	24405	28174	63895	73389	101117	84403	72225
TBL3	33957	36446	40655	35466	29992	33408	34923	28747	31648	74770	82909	83248	88870	73012
TBP	11326	12274	13734	11089	9253	9192	12091	11406	13830	38198	50542	77043	59697	55338
TBPL1	5885	6298	6737	7313	6587	6379	9190	10566	11208	24154	33988	23771	23271	24062
TBRG1	9662	9611	12748	14032	11932	13743	25992	29339	33050	44355	47594	57413	62105	67439
TBRG4	36635	36807	42704	34351	27780	32106	33728	29042	33378	113006	131514	172218	136847	114497
TBX1	1282	1290	1642	579	690	796	936	586	797	37843	29514	34260	31004	27510
TBX15	650	650	600	350	200	250	998	1450	1599	431	1480	1011	859	1188
TBX2	5036	4524	6006	5433	4719	6175	3234	2680	3110	68690	64376	74181	59450	56492
TBX2-AS1	350	346	797	450	50	767	382	249	200	11642	13063	10742	7758	7792
TBX3	15110	16138	18092	21201	16449	18164	8323	15540	18699	37945	44638	66083	33112	36425
TBXA2R	2241	1999	2182	1950	1798	1933	3118	2841	2553	2108	2771	2056	1500	1438
TBXAS1	1169	986	1012	543	560	524	439	138	145	2812	3419	3826	2431	2811
TCAF1	17031	16892	20209	17514	17028	15714	10559	13923	14920	11227	11061	8808	8196	9650
TCAIM	21674	19094	26145	25009	22663	23512	26484	30817	32150	14278	16643	15214	16206	19112
