Gene	SRR6926216	SRR6926217	SRR6926218	SRR6926219	SRR6926220	SRR6926221	SRR6926222	SRR6926223	SRR6926224	SRR6026765	SRR6026766	SRR6026770	SRR6026771	SRR6026772
COTL1	124746	132769	159560	127653	113268	121733	162829	155377	189211	56551	61151	47854	50378	45483
COX10	15912	13909	17467	15254	14735	14355	14897	16215	16379	30275	33754	48412	46112	44994
COX10-AS1	2050	1795	3320	1887	1382	2278	1247	1799	1936	5970	6445	5694	6401	5453
COX11	27043	32358	33453	30197	28282	31769	31110	33639	38622	67680	66739	54230	60219	61832
COX11P1	1299	1150	2839	1150	1349	2096	1700	1698	1896	2047	1489	1732	1878	2124
COX14	16028	18048	21256	31053	25566	28800	22358	15198	19136	44829	55544	36374	36392	34397
COX15	37380	41142	45456	51318	41514	45601	34411	44914	49489	66916	63606	69323	70233	67104
COX16	33175	37793	40479	44492	41969	43460	34442	27577	30583	42228	52920	25363	30917	27214
COX17	8495	8886	10610	12673	12218	11046	11327	9324	11614	19724	20610	10515	14523	12803
COX18	8608	7454	9792	9394	8382	8823	10185	10944	12584	13832	19316	22720	15317	14012
COX19	5869	6854	7200	5792	6404	6268	13968	12999	16701	39079	33034	40520	44606	41607
COX20	22961	23263	28061	24840	21535	23756	34609	30323	35236	26822	35909	29897	33039	37527
COX20P1	7947	8374	7376	7404	7212	6858	12512	12137	12919	1939	2288	2198	2601	2336
COX4I1	129458	145386	155670	170277	148169	163762	210605	150468	162495	354643	398586	291895	322542	282469
COX4I1P1	997	655	1043	967	1109	851	1675	976	1166	2621	2452	1336	2517	2336
COX5A	76991	81145	88304	87125	69850	83904	97900	81494	87160	173052	187263	126229	167747	134180
COX5B	46586	50952	54782	60596	50608	59263	77844	51452	61210	174342	194141	133605	194422	148889
COX6A1	76395	81060	87384	102542	85748	101834	124569	86788	105704	103475	121123	94294	87517	75783
COX6B1	42616	47111	55113	73409	64158	78697	63336	39774	45171	439668	427553	210825	308939	242926
COX6B1P1	800	1150	750	1250	1100	2293	1248	750	600	3976	2772	1503	3568	2190
COX6C	21871	25199	31873	27930	22093	24830	24519	19175	22045	66440	61962	38968	60102	56946
COX7A2	62493	66770	75128	108634	92204	103638	88055	68700	75650	145354	203021	116315	129844	104223
COX7A2L	62107	69254	74171	94657	82565	89888	81954	83602	102048	74627	95429	77004	76795	67140
COX7B	59832	66139	75110	84377	74203	84894	84203	58921	63084	120986	130935	49079	79856	70482
COX7C	94759	110245	126089	129431	110667	115823	105114	76552	91611	135887	152167	87841	104490	88386
COX8A	76959	84834	88458	92695	79412	87692	93481	62132	72966	261900	304675	203004	212208	198376
CP	2153	2480	2898	1812	1769	2123	3528	4950	4233	2715	2506	2809	2108	2416
CPD	103299	96949	120604	170889	170668	145761	70396	127993	150134	195472	158919	160237	190038	203120
CPE	20896	24368	25980	21710	19890	19368	23835	29460	31508	199654	217665	159877	146027	165279
CPEB1-AS1	741	1086	840	1227	888	597	600	594	889	5732	5946	4710	5061	4877
CPEB2	10024	10124	11240	10434	9523	10110	8922	22214	26191	15333	14040	12215	12806	11482
CPEB3	3426	2890	4019	8593	7952	8066	5077	8770	10954	2890	3390	3156	2980	2512
CPEB4	13646	11369	16019	13452	13406	11837	16243	42208	50002	19004	20151	18640	18254	26412
CPED1	3499	3835	4696	4350	3497	4699	3998	4450	3250	836	789	597	357	590
CPLX1	196	250	200	300	750	500	750	350	1044	3726	2056	1333	2056	1880
CPM	34376	31317	39724	43215	38773	40144	63916	81866	93470	9271	11906	10354	8851	10243
CPNE1	146720	151374	175687	148663	128722	133896	151261	133787	158566	94654	164832	171654	109446	95122
CPNE2	21026	21893	23097	16944	16105	18527	15246	13409	14828	50188	60215	43278	47952	41246
CPNE3	53377	51818	67376	55701	51242	51528	34123	57196	64495	89051	81017	63485	67421	76686
CPNE7	3555	2771	4100	2031	1860	2369	1572	1081	1496	4342	3804	3213	3274	3246
CPNE8	17787	16399	21554	20222	14424	16839	13980	18080	20765	13915	11345	16646	14271	18729
CPOX	16127	15970	18634	16583	13965	15400	10511	15935	18044	42398	38598	29564	29089	30880
CPQ	250	43	635	569	240	200	250	337	150	3150	3678	3287	2877	2770
CPS1	273284	276805	328211	325829	300685	280284	197483	257794	314409	10935	7932	6049	8694	8648
CPSF1	45199	42239	51771	52852	42028	48181	45086	38138	45541	138200	147714	108941	132619	115592
CPSF2	59295	59295	72482	65522	57599	59750	49860	73203	86592	35746	43348	46426	46659	51111
CPSF3	32757	35595	41275	29884	30330	30221	38712	36147	37447	61445	58287	54685	70338	71134
CPSF4	12647	13079	14469	13380	11004	11333	11232	10352	12778	75503	80128	99375	85919	81053
CPSF6	58536	62807	74424	61154	54663	59107	49226	60180	66644	107583	107793	91355	98695	107461
CPSF7	66359	70414	83364	76531	69803	74638	60823	80332	99328	162804	219360	286516	258971	241408
CPT1A	70779	66705	84836	45159	39724	46949	29563	48751	54906	28917	51437	45097	36281	34687
CPT1B	350	426	755	491	450	534	1143	973	1566	33008	40531	69179	27934	32192
CPT1C	396	400	350	1650	1093	691	1500	1043	1093	3460	7140	7010	2535	2552
CPT2	11007	11477	13873	11971	9694	9706	15682	16918	18840	49446	60718	73115	53899	46504
CPTP	14457	13783	15040	18684	14964	18557	23951	15955	19250	39888	42804	37651	29524	26177
CPVL	13537	14345	18088	17997	17192	16584	15186	14042	15544	65484	68820	52130	64982	66392
CRABP2	1330	2080	1648	1418	1442	1870	1481	2153	2069	8284	11444	7832	8091	6303
CRADD	2837	3120	4188	3882	2339	3649	4884	5512	5474	9676	11213	6665	6501	7718
CRAMP1	18172	17086	20661	17825	16236	17057	11488	18264	25584	100047	105227	131713	101454	90273
CRAT	22273	23669	25618	30334	26428	29628	37606	30593	37052	50140	78803	73190	47409	42316
CRB2	2000	2146	2677	1500	1517	1888	2865	2426	2917	4819	6591	7633	6486	6960
CRBN	15961	14427	21259	16786	15020	14299	17104	16082	19438	26958	28543	33670	40607	41855
CRCP	6463	6968	7767	7801	7412	7154	9604	11524	12631	55639	73883	90231	76920	80931
CREB1	17169	15434	19555	11291	12055	11532	12487	18435	21594	24448	30351	36094	36790	45498
CREB3	10086	10422	10631	23668	19967	25601	32230	25194	28936	59421	82555	82978	69395	59107
CREB3L1	1575	1950	1784	5797	5553	6309	5324	4471	5263	1331	2635	1701	1209	1838
CREB3L2	55621	52687	68123	75047	73091	69624	43725	68500	84417	76855	67994	95929	93680	95844
CREB3L4	3795	5151	5779	7341	7021	9748	8708	6834	7148	10015	16716	22730	14525	12756
CREB5	600	600	400	443	189	100	3590	5192	6526	23324	31720	63809	40361	45097
CREBBP	92344	85053	112719	87390	80576	80165	63453	100940	130521	182682	197513	234997	186819	174722
CREBL2	25688	25509	30728	32274	29448	29916	32220	40940	48926	44987	44566	34503	39220	43554
CREBRF	2600	2772	5270	2098	3633	2450	3637	7738	7573	4427	7852	12663	7911	10009
CREBZF	29347	29199	33111	31135	27747	30404	10363	17487	20426	88006	90648	97652	83035	86467
CREG1	50506	56357	65812	66306	65184	62102	95739	78067	84564	88104	80548	61277	90202	98294
CREG2	3732	4376	4173	5095	4702	5005	6126	7805	7586	1258	1103	722	1550	1040
CRELD1	4821	3975	5629	9620	8302	9340	22905	20569	23560	22559	29280	55597	42229	43801
CRELD2	10928	11181	13280	87412	80517	91852	69946	56092	66197	66482	75155	136017	163185	132586
CREM	7137	6718	7918	7828	7301	7962	15352	15170	15999	24051	21338	17888	22135	23796
CRIM1	75848	73976	92375	90229	86076	86076	45949	75868	88018	58473	62412	61561	53999	60246
CRIP2	18781	19182	22304	15779	13209	16765	38135	22208	27261	4991	6767	5986	4864	4435
CRIPT	10014	11066	12799	14735	12910	12154	14226	13929	13747	18925	23821	15140	18891	19272
CRISPLD1	200	249	50	196	100	100	300	377	493	5994	8087	7862	4894	5643
CRISPLD2	3148	2945	3297	4299	4512	3962	7652	8078	9018	1008	1526	1880	1414	1331
CRK	80426	80738	98492	86811	77503	80920	68328	90886	105217	11945	8215	5684	5514	6124
CRKL	54099	55030	66744	58749	51446	52040	43859	65732	77187	224548	254150	271772	246736	224668
CRLF1	9557	9942	9430	6960	7340	7821	10349	8082	11069	27233	38173	28860	16425	13831
CRLF3	14201	14304	15887	13926	12404	10758	9721	12905	14068	31020	29744	29841	31449	34775
CRLS1	19983	22651	25214	25914	23754	23267	27248	24323	28866	37653	39709	34999	31793	33128
CRMP1	1559	1574	1564	1323	1670	1378	1259	535	878	16116	16774	16536	10711	8186
CRNDE	3577	3779	3959	2919	3147	3619	4758	3841	4462	31225	30580	28387	30564	32613
CRNKL1	16330	15882	19598	18862	16246	18027	14227	18072	19086	19269	23426	29100	29254	30195
CROCC	5254	5510	7423	3450	2859	4464	2958	2550	3569	37668	42872	30898	30991	25175
CROCCP2	3709	3927	4040	2581	2465	2069	2863	3060	4762	79677	75623	91030	59248	58637
CROCCP3	348	400	750	548	500	500	200	446	390	6325	6287	6736	4850	4467
CROT	3288	2997	2786	2828	3279	2692	2888	3407	2773	11285	11803	9499	9548	11483
CRTAP	172010	187424	211144	311287	285527	286801	182319	174771	196466	260632	324545	230275	218895	199456
CRTC1	21457	22100	25029	18999	14363	18474	14709	12332	16856	50387	62146	61358	46370	40469
CRTC2	18504	19743	21484	23137	19858	25503	22391	16996	23453	59405	71870	99645	66983	65009
CRTC3	40922	36648	46173	34147	29288	33387	25042	31357	39958	145720	168338	222498	177137	161909
CRTC3-AS1	977	846	750	475	290	968	308	619	986	4587	5148	6858	6352	5410
CRY1	11397	12267	14381	11493	12061	12512	14940	15861	19595	22266	23108	27947	23983	22990
CRY2	4940	5138	5290	5370	5270	4825	6408	8200	8188	16778	26802	34706	24144	23306
CRYBB2P1	4107	4383	4557	4969	4782	4254	10005	7936	8193	14248	19658	22343	17831	19045
CRYBG3	16214	15417	20567	15296	16270	17129	12659	21226	25715	8463	13443	20102	20903	24520
CRYL1	2920	5124	4693	7470	7781	6925	4999	4042	5661	12727	17484	14224	12837	11516
CRYZ	15288	14592	19381	13972	12367	13179	8689	11707	12421	14600	11358	8624	11563	11904
CRYZL1	7880	7024	8428	6640	6553	8027	12681	11145	12848	15594	17942	18544	17936	17164
CS	132341	138384	162706	137265	128650	133199	98839	97737	117442	228583	288131	262267	247815	205952
CSAD	524	900	1110	684	797	908	579	817	1080	16341	21597	17282	10711	10968
CSDC2	7190	7391	7983	11131	9860	12634	8053	6567	6828	13227	24877	22238	20404	19050
CSDE1	453223	475442	577715	600557	533609	581999	419945	513549	563297	335986	321754	274659	403150	417132
CSE1L	277685	270199	349426	218425	199949	197311	201446	226296	234299	148875	154273	181957	200770	217635
CSF1	4031	4749	6067	4611	4446	4472	5698	6501	8668	21970	24877	16152	14060	13382
CSGALNACT1	10995	12546	14680	19659	19200	19930	28816	32397	33375	1117	1285	915	591	1331
CSGALNACT2	7181	6392	7956	15836	14654	14706	11392	15039	17318	11906	12324	18540	19981	23740
CSK	27085	31311	34243	23479	22712	25538	23189	21873	24329	139292	153516	164478	160940	135037
CSNK1A1	82383	85569	105006	102769	88427	95301	149690	172891	188576	138381	146816	139283	162712	172548
CSNK1D	120167	127370	141511	138919	125321	161102	119736	98644	116694	400005	479051	603348	465108	424317
CSNK1E	62602	61404	74995	64489	61522	68205	75026	65390	85964	412446	546030	486052	414856	377238
CSNK1G1	12551	13452	14518	18767	17267	15542	11753	16600	22409	35451	30956	40305	32928	38047
CSNK1G2	27372	30764	35153	28740	27294	32572	25702	22605	26198	183805	196066	181290	151606	136637
CSNK1G3	28663	27615	37813	28811	27437	26470	32687	38646	43737	18742	22085	26317	29398	31487
CSNK2A1	58223	52057	70397	61906	52401	56068	51484	68711	77432	114374	118598	100912	113019	113424
CSNK2A2	49679	53364	61982	49073	46638	48872	57170	60605	71080	129185	129178	121300	145967	141882
CSNK2A3	13523	15009	18264	14431	13079	14780	12489	19707	21612	27233	29027	26448	28694	27081
CSNK2B	84742	84391	95390	102590	87946	90360	150483	111623	128361	10	71	34	68	29
CSPG4	36652	35124	40482	30149	28378	30640	61869	78258	101662	4979	5469	3097	3048	2974
CSPG5	2082	2583	2412	2192	1399	1191	1250	800	942	15807	16884	13231	8758	10018
CSPP1	6503	6617	6790	8165	6276	5956	4101	6052	5598	6420	11419	19042	13812	17312
CSRNP1	6922	7468	6834	15980	15883	17264	13124	11356	14629	11851	22050	58893	44864	42621
CSRNP2	14293	15349	19432	14016	12868	14348	22739	28233	32303	47067	51367	78544	56970	57910
CSRP1	82495	93104	102895	129555	120877	134153	155613	136774	163265	78302	142515	154294	135376	154583
CSRP2	7518	8681	8571	11462	10535	10088	14192	11047	11796	35129	45180	37727	32060	38166
CST3	47990	53509	58840	83199	67447	87720	79773	50939	60723	196679	288002	208479	152108	134853
CSTB	40646	45027	48545	45942	41861	46840	51494	41775	50970	105285	111004	65991	67070	60771
CSTF1	34027	35219	39360	33322	29753	31817	33568	34998	42025	36738	47994	60301	44043	47736
CSTF2	36437	38449	43568	35532	33510	34584	32219	32306	36121	40317	43836	43790	53495	45283
CSTF2T	24897	25080	27393	23006	22196	25642	14482	17817	20729	60101	52544	44679	47619	55887
CSTF3	18688	22194	25180	23644	18703	20837	18066	20925	21920	45062	49747	32335	40182	39517
CTA-293F17.1	238	154	341	143	543	302	50	250	540	897	1698	451	1787	1174
CTA-29F11.1	800	1850	798	743	1047	896	650	550	1438	6322	8674	7565	8745	6682
CTA-384D8.36	3991	3303	4382	4484	3309	4101	4279	2886	3940	25817	32693	35385	28296	26404
CTA-445C9.14	1114	750	1300	2000	949	1543	1300	1298	1200	5896	7507	7756	10288	9944
CTA-941F9.10	1286	1025	1385	1078	1326	1146	1191	1128	1141	27202	21015	17744	20762	19138
CTAGE5	7260	9030	8910	17544	15185	15425	27238	30954	33379	5757	7352	8933	10283	11057
CTB-102L5.4	28848	34922	34562	44691	36722	43329	87802	56060	68578	34235	34768	26630	37841	33019
CTB-113I20.2	50	300	442	100	50	250	100	100	100	1400	2406	2487	2199	1856
CTB-129P6.4	74	109	41	199	49	106	154	157	190	5230	4816	2778	3147	3694
CTB-147N14.6	28100	30281	33060	43321	37911	48673	32365	37581	43260	166658	121041	160071	280643	240038
CTB-167B5.1	381	431	305	553	652	536	539	759	712	8083	7683	5698	5957	5635
CTB-179K24.3	2956	2939	2895	2954	2497	4018	4185	3013	4555	14593	15293	14200	17310	15378
CTB-31O20.2	200	250	200	449	150	400	100	150	100	7189	8942	7530	6716	6799
CTB-31O20.9	50	20	100	76	11	302	50	136	23	4284	4994	4363	4075	4365
CTB-33G10.1	13972	14600	13788	14967	12668	16842	19553	12380	16670	18508	24074	21265	21132	16664
CTB-43P18.1	14443	15898	18228	18678	16301	18559	26659	23267	22416	24129	22303	18273	24299	27023
CTB-50E14.5	4145	4020	5286	6854	5018	5032	5516	8778	10445	3582	4597	4702	4819	4136
CTB-50L17.10	25648	23635	29072	22910	20504	26762	20701	17144	21893	172153	183611	195038	165394	155284
CTB-50L17.5	1115	1090	1403	830	779	935	522	772	964	3515	4708	4626	2985	3352
CTB-52I2.4	13312	15448	16889	13872	15200	13173	8187	10429	12962	24939	28655	26502	27929	23919
CTB-54O9.9	1099	1970	1119	1816	1005	1422	2575	1592	1794	9510	10138	12960	12254	10744
CTB-55O6.12	1742	1696	2882	1992	1777	1600	917	1400	1075	12706	12416	9568	6923	6877
CTB-5E10.3	4955	4945	4474	5064	5185	5118	3740	3114	3523	18082	27233	27369	16121	14914
CTB-89H12.4	43362	43185	56321	52772	45930	49395	94706	95091	99043	75721	90233	81344	90396	103142
CTB-92J24.3	445	376	684	461	346	892	246	359	350	2645	3070	2970	2709	2306
CTB-96E2.7	2442	3484	3188	2775	2270	3222	4837	4730	4330	12941	16043	16288	16067	13342
CTBP1	94181	96455	109782	102011	84954	101945	83571	77170	92610	199863	211949	172474	174536	144648
CTBP1-AS	22814	22503	25005	23563	21072	26771	15923	13643	17242	48179	48711	36172	34892	33101
CTBP1-AS2	7447	7283	10143	7744	8566	9587	14412	11208	16319	21162	25824	20828	16413	14731
CTBP2	72139	71905	83475	78985	70065	72916	82493	89107	101610	97532	82326	108062	98457	109048
CTBS	5521	5176	8000	11077	12557	10098	9080	9193	11460	10646	13464	11707	15156	18859
CTC-250I14.6	21963	22573	25621	22142	20964	25822	14599	18602	20657	34920	40517	77534	57269	55109
CTC-260E6.2	58469	68332	68846	74172	61836	69322	92374	62376	74330	87550	112041	81723	92103	76369
CTC-260E6.6	5599	6229	6735	7179	5810	5905	8997	6670	7408	3487	6923	5733	2517	2844
CTC-260F20.3	42618	46439	52498	55584	47366	61574	79498	57222	55789	198065	234112	139463	159527	128301
CTC-273B12.5	230	233	129	226	406	137	478	50	98	10154	10917	9459	8504	8256
CTC-308K20.3	13428	17525	18605	15762	15029	17395	13891	12731	13496	7822	7091	4668	6354	7546
CTC-329H14.1	10430	12876	15976	12231	10677	11858	17627	12770	11534	17394	19555	14326	15272	13774
CTC-338M12.4	1739	2021	2348	3717	2647	3583	2705	3575	3814	16169	15714	16373	14603	13050
CTC-338M12.5	1558	1341	1671	1930	1419	1025	2220	1299	1573	1323	2019	676	1254	813
CTC-351M12.1	250	850	881	550	250	696	1148	1468	1000	4301	5807	5697	4605	3431
CTC-360G5.8	6048	5743	6928	7365	5850	7511	8135	5310	6510	99702	90948	100857	110564	100606
CTC-360J11.4	2348	1960	2287	1888	1402	1588	1102	1778	1225	2101	2189	1488	2009	2597
CTC-425F1.4	45043	47904	54119	211010	181746	203065	220653	147980	173928	88609	132269	236479	215773	193065
CTC-428G20.6	429	367	450	271	508	343	583	518	848	1060	1284	1868	1689	2219
CTC-429P9.4	6195	6427	8887	8050	7426	8929	14678	13259	14018	21713	27150	25258	24707	23063
CTC-432M15.3	13367	11641	15698	14104	12262	11174	4010	10847	14625	12442	12725	20221	20148	23018
CTC-435M10.3	27000	32364	36034	63741	56305	62288	41351	32195	37776	69850	76852	82624	106654	92821
CTC-444N24.13	367	257	166	491	400	470	175	460	425	3138	2169	2735	2780	3354
CTC-454I21.3	4379	3598	4192	5588	3394	3309	6528	6141	6596	7755	8072	6827	10606	11297
CTC-454I21.4	293	353	218	293	60	149	414	281	283	550	644	2308	2023	1964
CTC-459F4.3	2989	4545	4130	3716	3689	4082	6742	5981	7396	27039	22965	23283	31237	30988
CTC-463N11.4	7413	9169	10167	12142	11067	11614	4208	6706	6698	40167	37476	41672	39754	38818
CTC-467M3.1	213	250	72	296	350	337	64	479	107	1610	1491	2004	1328	1459
CTC-471J1.11	353	245	250	396	193	346	238	593	270	710	1647	473	601	732
CTC-471J1.8	615	744	850	533	433	1766	236	670	460	1942	3714	3831	3557	3437
CTC-479C5.10	11584	12004	13316	10189	8953	10572	12007	8418	10175	39977	45475	38113	45791	38861
CTC-479C5.12	4995	5359	6479	9830	8759	9468	6951	5165	5843	13723	16331	9868	7967	6490
CTC-487M23.8	4713	4962	5547	11563	11283	11257	10148	12396	11858	13019	11017	12037	14291	15855
CTC-498J12.3	2417	3428	2842	4504	4991	5560	2254	3785	4741	5832	5071	4882	5341	7146
CTC-499B15.5	150	300	200	200	149	50	100	200	233	4224	6595	10330	7354	7297
CTC-512J12.6	385	380	565	387	382	297	84	100	500	650	966	1491	1213	1293
CTC-524C5.2	17974	20869	21404	22743	18254	18631	14233	11393	14560	29710	35461	28841	28417	25184
CTC-534A2.2	2481	2645	2784	2245	2049	3382	2746	3543	4417	3989	3850	4919	5974	7240
CTC-548K16.5	10317	12453	13221	12873	12529	13149	14358	13821	16944	1479	2419	3141	2807	2435
CTC-554D6.1	10537	9376	12165	26971	25233	23083	23696	25364	23419	12011	10671	12267	13914	14422
CTC-559E9.6	213	250	230	244	250	200	285	291	199	1694	2123	2368	1904	1713
CTC1	12971	13410	15380	13167	10331	11912	5637	8205	9425	37983	42023	66557	44428	46029
CTCF	43487	44520	54906	42849	38967	41080	40726	45563	54164	81260	91338	99815	95084	99538
CTD-2010I16.2	2030	2233	2918	3801	2673	3082	3982	3557	3179	10374	10001	12038	11235	10671
CTD-2013N24.2	4376	5661	6947	10080	9615	9694	4672	8004	8137	3477	4133	5712	6054	6681
CTD-2015H6.3	3940	3793	4374	8064	6969	6509	6492	4626	7228	1728	3359	1707	1159	1255
CTD-2017D11.1	980	731	1111	1585	1825	1230	1751	1822	1196	2711	4521	5712	3460	4172
CTD-2020K17.3	7404	7185	8698	6356	6316	6620	5991	7117	8584	6703	7707	6586	5342	5808
CTD-2021K4.1	9087	8345	10848	8284	7655	5260	5506	8212	9215	11788	14528	13458	11338	14553
CTD-2033A16.2	65988	70572	87182	65491	66412	68299	40476	56866	61601	50395	65180	57897	58119	50309
CTD-2033A16.3	11366	12333	13941	10996	9143	12594	11411	9249	10377	12069	13024	19853	20740	18441
CTD-2036P10.5	1268	1000	1500	848	810	1005	1359	555	500	5287	5581	6102	5733	4720
CTD-2047H16.4	1802	1658	1888	1463	1545	1662	441	1327	2218	6898	6299	6564	5085	4899
CTD-2102P23.1	1038	1337	1977	1508	788	1278	1172	1038	1971	4107	4937	3428	3505	3308
CTD-2116N17.1	52701	57396	66948	29560	24263	29433	33293	38327	41504	53691	51553	40104	43489	45472
CTD-2132N18.3	55722	60415	67065	64366	56374	59508	55949	56039	65064	171880	197843	161840	183299	157473
CTD-2135D7.2	3072	3011	2996	2239	3027	1491	1257	4310	4501	4308	5178	7278	7134	8130
CTD-2140B24.4	1671	1741	2395	1608	1537	1384	1499	2401	2706	2075	2977	5543	4440	4839
CTD-2154B17.4	1585	1304	1507	3266	2275	3150	1794	1617	2436	4226	4394	3043	3585	2652
CTD-2186M15.3	569	1161	996	1027	890	1815	1930	653	1628	2806	4055	5113	5012	4108
CTD-2192J16.17	200	300	350	100	200	339	374	186	89	3337	3966	8970	6562	8376
CTD-2192J16.20	3490	3490	3765	3640	3893	3527	3166	4333	6024	9129	13638	21319	17186	16926
CTD-2192J16.22	2910	3643	5185	4149	4020	4517	6022	3034	4241	86169	130991	88214	66641	59580
CTD-2201E18.3	8477	8347	10855	12170	10590	12113	16083	17709	18052	8234	10079	9200	7134	7654
CTD-2203K17.1	550	167	665	341	314	550	347	200	1000	765	1317	1337	970	956
CTD-2206G10.2	3088	3793	4106	3888	3697	4517	5150	3790	3612	5161	4833	3199	4802	3945
CTD-2207O23.10	4134	4016	5371	4776	4510	4382	3943	5086	6598	12824	14798	7533	7399	6001
CTD-2207O23.3	18139	17223	20526	20559	19917	20536	13181	17429	21212	86601	108651	72533	83387	68028
CTD-2210P15.3	4351	5129	4897	4296	4569	3826	2099	4282	3649	1903	1768	1174	1663	2173
CTD-2228K2.7	1185	1050	800	1169	1127	946	2923	1855	2073	34838	41800	27713	17341	18647
CTD-2231E14.2	20293	17989	20812	30350	27501	31305	15277	17436	20789	21905	22688	15693	13533	17708
CTD-2231E14.8	34168	33929	38478	42860	35541	38709	41113	37712	39212	66589	73963	50237	60952	54809
CTD-2256P15.2	510	682	894	698	965	1099	600	1355	1113	2403	3731	2569	2771	1478
CTD-2256P15.4	130554	139387	160454	125186	110540	113768	142398	111562	128235	90320	84864	78178	110853	99811
CTD-2260A17.2	700	400	742	1100	1150	1427	1350	600	1300	8675	7263	5800	5578	4031
CTD-2267D19.3	1807	2434	2455	1606	1414	1329	2267	2623	2585	28135	30746	24970	28393	21663
CTD-2269F5.1	1885	946	1421	1484	842	1026	568	1297	1306	5632	5206	3592	4772	7217
CTD-2270L9.4	907	904	2207	1494	1250	1461	3105	1840	2572	6357	7219	8204	7193	7076
CTD-2278I10.6	33215	34160	38807	42732	39736	42223	44541	38889	44129	66413	78711	58463	62870	55056
CTD-2292P10.4	44624	53590	62602	52561	47601	57352	74005	53167	67265	1584	1643	1133	1410	1241
CTD-2302E22.2	1263	831	969	483	1069	764	857	769	1033	347	568	1114	981	890
CTD-2310F14.1	285	332	302	384	298	148	363	414	391	984	830	993	1224	1208
CTD-2314G24.2	100	300	200	349	250	350	446	400	698	2450	2495	2873	2089	1953
CTD-2319I12.10	7048	7497	9385	9397	8849	9042	5450	7843	7646	7998	9100	8603	5831	6091
CTD-2319I12.2	208	174	417	222	539	607	1476	1217	721	309	919	876	909	1870
CTD-2323K18.1	3101	2966	3846	2696	2774	2426	4947	5028	5965	15632	15918	18329	17622	15602
CTD-2331H12.8	2094	2399	3691	4224	3087	3079	1877	4504	4686	8029	10245	13742	9291	9809
CTD-2349P21.12	1582	1486	1133	1307	1384	1003	601	1050	879	3105	2484	3264	4110	3457
CTD-2349P21.9	618	670	468	466	415	500	444	252	488	4148	4649	4947	3659	3944
CTD-2350C19.2	342	358	222	266	149	99	356	491	440	3717	3459	3249	2731	2647
CTD-2366F13.1	1493	1050	1240	1100	987	782	1739	1882	1000	3090	3129	3119	3656	2659
CTD-2369P2.10	4257	3098	4087	3059	4138	3803	8140	6225	6194	22940	28084	31724	23450	21693
CTD-2369P2.12	37511	35468	40833	35103	30567	36325	28011	20974	27282	98446	116155	106879	104525	94072
CTD-2369P2.4	4885	5880	6238	5104	4338	6170	7330	4834	4369	25602	30644	22410	28767	23430
CTD-2369P2.5	3997	5190	4573	3160	3303	3646	3561	2794	3358	34785	31645	27887	34567	27785
CTD-2410N18.4	15499	14502	14625	16354	15436	17664	12192	17593	20527	18919	18904	18097	19917	21324
CTD-2410N18.5	24690	23835	26933	31048	27088	26373	27755	26833	33817	48395	43118	30735	38807	39924
CTD-2510F5.6	7526	6887	10244	7462	6717	6618	5441	7776	9643	8131	11383	8222	9238	9230
CTD-2515O10.5	7982	7095	7354	8719	9250	6844	10963	8249	11007	9568	7853	8168	14394	10077
CTD-2517M22.16	803	1590	1313	1218	736	1161	1161	1337	2097	3589	4519	4963	3937	3148
CTD-2517O10.6	200	495	241	350	200	350	845	500	946	2053	3468	4399	4234	3092
CTD-2525I3.3	1435	1929	2152	1516	1896	1934	1421	1021	1419	7672	10081	8550	10402	7758
CTD-2528L19.4	648	687	717	311	355	288	260	525	887	2422	1648	4462	3320	4072
CTD-2531D15.5	2200	2486	1974	1206	945	759	2049	1007	1882	10802	13671	11426	8833	11830
CTD-2535L24.2	280	143	556	496	350	475	405	519	522	7869	9714	8297	7212	6412
CTD-2540B15.13	2346	2077	2241	1323	1183	1790	895	950	840	75412	51523	27322	37522	33198
CTD-2545G14.6	15174	18198	21082	20911	20052	22170	18612	14762	19664	64919	90536	67436	69148	53965
CTD-2545G14.7	77044	80862	95256	141243	124415	128690	128559	104498	117863	181059	282313	191798	151103	134098
CTD-2545M3.2	9315	8442	10453	10681	12439	11525	14616	10455	14090	61202	70651	55198	64095	52110
CTD-2545M3.6	6837	7724	9360	6458	5150	6100	6949	4755	5028	20818	20628	17189	18218	16404
CTD-2550O8.5	5778	5942	7734	8437	6480	7992	14137	10694	9950	73903	90137	70720	81908	65986
CTD-2553L13.10	935	398	1033	880	1098	441	1400	726	1129	1975	2151	4483	4534	3846
CTD-2553L13.9	1150	631	949	898	1231	1095	947	1600	999	8096	6843	5856	9238	7800
CTD-2554C21.1	4147	5410	6747	5133	5136	4312	5559	5584	7591	9794	11787	13437	12582	10461
CTD-2555O16.4	5876	5773	7380	5543	4804	6162	3931	3430	4108	11019	12400	12083	10499	9725
CTD-2561B21.7	1211	1355	2300	904	1169	1750	3368	3782	3385	11752	10149	11285	10885	7720
CTD-2574D22.6	6479	6758	7973	11616	11121	12513	8220	7481	8892	29853	36064	30795	24081	22185
CTD-2574D22.7	1960	2604	2885	2985	2544	4526	2282	3038	3802	21541	24939	16553	14546	15040
CTD-2576F9.1	20343	21760	22097	23559	21864	25116	19240	13213	16816	27862	32541	26383	40107	33038
CTD-2576F9.2	3894	4556	4507	4693	4651	3892	5292	2985	3007	9723	11273	10111	15263	12484
